function	P10F2	P10F3	P10F4	P1F1	P1F2	P1F3	P1F4	P1F5	P2F3	P3F1	P3F2	P3F3	P3F4	P3F5	P4F1	P4F2	P4F3	P4F4	P4F5	P5F1	P5F2	P5F3	P5F4	P5F5	P6F1	P6F2	P6F3	P6F4	P7F1	P7F2	P7F3	P7F4	P7F5	P8F1	P8F2	P8F3	P8F4	P9F1	P9F2	P9F3	P9F4	P9F5
RXN-16628	9091.55	6.0	6190.070000000002	11775.53	8093.090000000001	12492.69	9978.61	14992.930000000002	11247.59	4498.83	1937.6400000000006	6317.620000000003	6728.7400000000025	11629.0	14.0	14355.29	10672.72	6982.800000000001	10307.740000000002	6991.41	10578.31	9736.97	8912.990000000002	6127.69	3200.09	12759.11	5952.530000000002	10759.31	4682.17	7426.820000000002	8705.380000000001	4462.930000000001	4389.130000000001	11662.2	11286.150000000005	8530.849999999999	6352.200000000002	5401.03	7459.979999999999	6057.979999999999	10433.85	4904.8600000000015
RXN-16629	4092.969999999999	2.0	2697.350000000001	3218.49	2196.7400000000007	2484.73	3333.100000000001	3885.41	3484.35	1659.2700000000002	280.92	2042.1600000000005	1720.35	2598.3	4.0	6345.219999999998	4782.76	2219.76	5885.540000000001	3345.1800000000007	5861.05	5515.02	3498.17	2354.58	1010.6799999999997	7130.150000000002	1746.3300000000004	8585.66	1626.5100000000007	2904.57	3214.75	1786.9299999999994	1782.7499999999998	4681.9	5202.02	4148.6500000000015	1925.56	1763.3299999999995	2672.22	2122.51	3143.92	1307.8
RXN-16630	29651.040000000015	16.0	20234.17	33673.94000000002	21193.1	30495.96000000001	26707.63000000001	41206.85	34932.53000000001	15278.54	4535.79	18364.72	18470.91	30235.16	34.0	45261.38999999999	34136.810000000005	22018.370000000006	34539.91	18993.68	30483.86	27346.3	28095.67	18738.750000000004	9864.969999999998	43256.330000000016	17609.47	39194.97	14992.76	23665.31	24687.669999999995	12574.590000000002	13700.200000000004	35865.03	35971.80000000002	28943.30000000001	19564.200000000008	16651.790000000005	22985.94	18659.11	28828.84000000001	12688.14
RXN-16631	8902.589999999998	6.0	5906.82	11228.500000000002	7573.700000000003	11872.45	9117.010000000002	14060.370000000004	11133.64	4218.98	1934.37	6155.9000000000015	6471.840000000001	11133.78	7.0	13702.85	10263.32	6974.950000000002	10166.71	7082.8600000000015	11250.94	10258.06	8578.08	5988.089999999998	3161.14	12573.710000000005	5783.1	10430.55	4543.720000000001	7357.980000000001	8414.53	4305.089999999998	4181.8600000000015	11253.27	10505.340000000002	8523.09	6259.690000000001	5114.16	7238.62	5685.500000000001	9544.0	4579.2
RXN-16632	9091.55	6.0	6190.070000000002	11775.53	8093.090000000001	12492.69	9978.61	14992.930000000002	11247.59	4498.83	1937.6400000000006	6317.620000000003	6728.7400000000025	11629.0	14.0	14355.29	10672.72	6982.800000000001	10307.740000000002	6991.41	10578.31	9736.97	8912.990000000002	6127.69	3200.09	12759.11	5952.530000000002	10759.31	4682.17	7426.820000000002	8705.380000000001	4462.930000000001	4389.130000000001	11662.2	11286.150000000005	8530.849999999999	6352.200000000002	5401.03	7459.979999999999	6057.979999999999	10433.85	4904.8600000000015
RXN-16637	5870.59	6.0	4018.14	9096.4	6277.3200000000015	10413.91	7293.920000000001	11827.09	8014.43	3141.070000000001	1739.4300000000005	4710.230000000001	5221.02	9627.61	7.0	8965.67	6928.050000000001	5102.300000000001	6272.620000000001	4666.24	7097.39	6550.250000000001	6097.8600000000015	4428.66	2333.6	7910.090000000001	4428.870000000001	7623.92	3288.74	4856.810000000001	6054.800000000001	3082.28	3062.470000000001	8122.25	7056.560000000001	5342.75	4561.310000000001	3993.1400000000012	5536.969999999998	4280.980000000001	7510.75	3716.4400000000014
RXN-16649	11613.47	16.0	7855.300000000001	26919.709999999992	17739.27	37220.95999999999	17222.21	35869.79999999999	13295.620000000004	6471.41	7658.46	12521.140000000005	14010.710000000005	33485.459999999985	14.0	18596.38000000001	14243.29	8327.44	13244.370000000004	9644.510000000002	15135.230000000005	14315.98	12618.79	9730.160000000002	3853.2	16536.160000000003	6852.250000000003	11704.260000000002	6518.18	10722.280000000002	11851.380000000005	6095.300000000001	6315.150000000002	20582.1	14296.200000000004	10371.5	7995.140000000001	11260.58	13322.97	10489.290000000005	17522.600000000002	10341.500000000002
RXN-16650	1446.4799999999998	0.0	1127.6600000000005	1336.98	912.8599999999997	974.8099999999997	1226.57	1850.5	1762.11	853.3699999999999	50.85	751.93	666.65	1053.4699999999998	0.0	2341.29	2038.37	1101.17	1768.54	966.88	1639.28	1203.51	1517.8099999999995	1016.5399999999997	502.84	2361.28	814.2099999999998	1164.92	982.9600000000003	1342.0100000000002	1431.89	707.9100000000002	739.8499999999998	1548.1199999999994	2049.96	1426.4899999999998	972.26	707.86	1093.37	799.8299999999997	1229.5300000000002	522.47
RXN-16653	10866.490000000003	6.0	7152.990000000002	9558.22	5624.670000000001	6212.600000000002	8094.380000000003	11388.670000000002	9515.620000000004	5949.1	727.91	5800.9900000000025	5099.7	7245.390000000001	14.0	16454.29	11774.01	5845.3600000000015	12804.370000000004	6866.280000000002	10533.420000000002	9184.7	10158.12	6493.480000000001	2566.2	16371.340000000006	5075.940000000001	16191.13	4462.469999999998	7112.330000000004	8052.080000000004	4259.260000000001	4807.600000000002	11887.63	12812.150000000005	9840.28	5078.690000000001	5701.470000000001	7645.44	6600.220000000002	8874.690000000002	3286.42
RXN-16654	10866.490000000003	6.0	7152.990000000002	9558.22	5624.670000000001	6212.600000000002	8094.380000000003	11388.670000000002	9515.620000000004	5949.1	727.91	5800.9900000000025	5099.7	7245.390000000001	14.0	16454.29	11774.01	5845.3600000000015	12804.370000000004	6866.280000000002	10533.420000000002	9184.7	10158.12	6493.480000000001	2566.2	16371.340000000006	5075.940000000001	16191.13	4462.469999999998	7112.330000000004	8052.080000000004	4259.260000000001	4807.600000000002	11887.63	12812.150000000005	9840.28	5078.690000000001	5701.470000000001	7645.44	6600.220000000002	8874.690000000002	3286.42
RXN-16655	10866.490000000003	6.0	7152.990000000002	9558.22	5624.670000000001	6212.600000000002	8094.380000000003	11388.670000000002	9515.620000000004	5949.1	727.91	5800.9900000000025	5099.7	7245.390000000001	14.0	16454.29	11774.01	5845.3600000000015	12804.370000000004	6866.280000000002	10533.420000000002	9184.7	10158.12	6493.480000000001	2566.2	16371.340000000006	5075.940000000001	16191.13	4462.469999999998	7112.330000000004	8052.080000000004	4259.260000000001	4807.600000000002	11887.63	12812.150000000005	9840.28	5078.690000000001	5701.470000000001	7645.44	6600.220000000002	8874.690000000002	3286.42
RXN-16656	10866.490000000003	6.0	7152.990000000002	9558.22	5624.670000000001	6212.600000000002	8094.380000000003	11388.670000000002	9515.620000000004	5949.1	727.91	5800.9900000000025	5099.7	7245.390000000001	14.0	16454.29	11774.01	5845.3600000000015	12804.370000000004	6866.280000000002	10533.420000000002	9184.7	10158.12	6493.480000000001	2566.2	16371.340000000006	5075.940000000001	16191.13	4462.469999999998	7112.330000000004	8052.080000000004	4259.260000000001	4807.600000000002	11887.63	12812.150000000005	9840.28	5078.690000000001	5701.470000000001	7645.44	6600.220000000002	8874.690000000002	3286.42
