OD590	CarbonSource	IndivID
0.051	D-Mannitol	192
0.137	4-Hydroxy Benzoid Acid	192
0.052	L-Serine	192
0.126	a-Cyclodextrin	192
0.096	N-Accetyl-D-Glucosamine	192
0.419	y-Amino Butyric Acid	192
0.792	L-Threonine	192
0.055	a-Cyclodextrin	192
0.046	N-Accetyl-D-Glucosamine	192
0.05	y-Amino Butyric Acid	192
0.055	L-Threonine	192
0.051	a-Cyclodextrin	192
2.237	N-Accetyl-D-Glucosamine	192
0.101	y-Amino Butyric Acid	192
0.047	L-Threonine	192
0.156	Glycogen	192
0.236	D-Glucosaminic Acid	192
0.04	Itaconic Acid	192
0.043	Glycyl-L-Glutamic Acid	192
3.5	Glycogen	192
0.773	D-Glucosaminic Acid	192
3.274	Itaconic Acid	192
0.043	Glycyl-L-Glutamic Acid	192
1.536	Glycogen	192
0.051	D-Glucosaminic Acid	192
0.112	Itaconic Acid	192
0.057	Glycyl-L-Glutamic Acid	192
0.112	D-Cellobiose	192
0.049	Glucose-1-Phosphate	192
0.047	a-Keto Butyric Acid	192
0.112	Phenethylamine	192
0.052	D-Cellobiose	192
0.052	Glucose-1-Phosphate	192
0.182	a-Keto Butyric Acid	192
0.117	Phenethylamine	192
0.74	D-Cellobiose	192
0.046	Glucose-1-Phosphate	192
0.11	a-Keto Butyric Acid	192
0.061	Phenethylamine	192
0.08	a-D-Lactose	192
0.052	D,L-a-Glycerol Phosphate	192
0.046	D-Malic Acid	192
0.078	Putrescine	192
0.045	a-D-Lactose	192
0.044	D,L-a-Glycerol Phosphate	192
1.402	D-Malic Acid	192
0.044	Putrescine	192
0.048	a-D-Lactose	192
0.055	D,L-a-Glycerol Phosphate	192
0.37	D-Malic Acid	192
0.209	Putrescine	192
0.045	Water	193
0.045	ß-Methyl-D-Glucoside	193
0.05	D-Galactonic Acid y-Lactone	193
0.038	L-Arginine	193
0.046	Water	193
0.043	ß-Methyl-D-Glucoside	193
0.047	D-Galactonic Acid y-Lactone	193
0.046	L-Arginine	193
0.095	Water	193
0.041	ß-Methyl-D-Glucoside	193
0.27	D-Galactonic Acid y-Lactone	193
3.171	L-Arginine	193
0.046	Pyruvic Acid Methyl Ester	193
0.049	D-Xylose	193
0.047	D-Galacturonic Acid	193
0.04	L-Asparagine	193
0.045	Pyruvic Acid Methyl Ester	193
0.046	D-Xylose	193
2.783	D-Galacturonic Acid	193
0.12	L-Asparagine	193
0.079	Pyruvic Acid Methyl Ester	193
0.061	D-Xylose	193
2.936	D-Galacturonic Acid	193
0.045	L-Asparagine	193
0.114	Tween 40	193
0.056	i-Erythritol	193
0.062	2-Hydroxy Benzoid Acid	193
0.04	L-Phenylalanine	193
0.053	Tween 40	193
0.042	i-Erythritol	193
0.101	2-Hydroxy Benzoid Acid	193
0.115	L-Phenylalanine	193
0.489	Tween 40	193
0.059	i-Erythritol	193
0.236	2-Hydroxy Benzoid Acid	193
0.084	L-Phenylalanine	193
0.065	Tween 80	193
2.053	D-Mannitol	193
0.089	4-Hydroxy Benzoid Acid	193
0.04	L-Serine	193
0.053	Tween 80	193
2.35	D-Mannitol	193
0.045	4-Hydroxy Benzoid Acid	193
0.042	L-Serine	193
0.055	Tween 80	193
0.039	D-Mannitol	193
0.077	4-Hydroxy Benzoid Acid	193
0.145	L-Serine	193
0.044	a-Cyclodextrin	193
0.044	N-Accetyl-D-Glucosamine	193
0.051	y-Amino Butyric Acid	193
0.038	L-Threonine	193
0.044	a-Cyclodextrin	193
0.039	N-Accetyl-D-Glucosamine	193
0.095	y-Amino Butyric Acid	193
3.379	L-Threonine	193
0.041	a-Cyclodextrin	193
0.048	N-Accetyl-D-Glucosamine	193
2.621	y-Amino Butyric Acid	193
0.056	L-Threonine	193
0.051	Glycogen	193
0.04	D-Glucosaminic Acid	193
0.04	Itaconic Acid	193
0.038	Glycyl-L-Glutamic Acid	193
0.052	Glycogen	193
3.261	D-Glucosaminic Acid	193
0.044	Itaconic Acid	193
0.043	Glycyl-L-Glutamic Acid	193
3.5	Glycogen	193
0.038	D-Glucosaminic Acid	193
0.571	Itaconic Acid	193
0.062	Glycyl-L-Glutamic Acid	193
0.044	D-Cellobiose	193
0.038	Glucose-1-Phosphate	193
0.046	a-Keto Butyric Acid	193
3.262	Phenethylamine	193
0.04	D-Cellobiose	193
0.04	Glucose-1-Phosphate	193
